Emirate_Ar,Emirate_En,Year,اسم المحطة,Type of Location ,نوع موقع المحطة ,Station Name,Month_Ar,Month_En,Category_Type_Ar,Category_Type_En,Value,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,غليلة,Residential,سكنية ,Ghalilah,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),80,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,شارع حمدان,Traffic,جانب الطريق,Hamdan Street,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),115,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة خديجة,Down Town,وسط المدينة ,Khadejah School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),107,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة خليفة,Urban/Residential,حضرية/ سكنية,Khalifa School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),74,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,المقطع,Urban/Residential,حضرية/ سكنية,Al Maqta,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),98,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدينة خليفة أ,Urban/Residential, حضرية/ سكنية,Khalifa City A,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),93,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة بني ياس,Urban/Residential,حضرية/ سكنية,Baniyas School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),97,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مصفح,Industrial,صناعية  ,Mussafah ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),125,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,المفرق,Industrial,صناعية,Al Mafraq,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),130,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015, شارع العين,Traffic,جانب الطريق,Al Ain Street,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),100,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة العين,Urban/Residential,حضرية/ سكنية,Al Ain Islamic Institute,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),80,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,الطوية,Urban/Residential,حضرية/ سكنية,Al Tawia,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),101,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,زاخر,Urban/Residential, حضرية/ سكنية,Zakher ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),64,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,سويحان,Urban/Residential,حضرية/ سكنية,Sweihan,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),86,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,القوع,Residential,ريفية/ سكنية,Al Qua'a,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),81,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015, بدع زايد,Urban/Residential,حضرية/ سكنية,Bida Zayed ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),89,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,حبشان,Residential,ريفية/ سكنية,Habshan South ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),88,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,الرويس,Industrial,صناعية  ,Ruwais ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),97,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,مدرسة غياثي,Down Town,وسط المدينة,Gayathi School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2015,واحة ليوا,Remote,نائية,Liwa Oasis,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),112,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,الكرامة,Urban/Residential, حضرية/ سكنية,Karama,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),101,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,تلال الامارات,Urban/Residential,حضرية/ سكنية,Emirates Hills,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),78,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,مطار دبي,Urban/Residential,حضرية/ سكنية,Dubai Airport,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),24,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,حتا,Down town,وسط المدينة ,Hatta,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),137,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,ميناء جبل علي,Industrial ,صناعية  ,Jebel Ali Port,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),99,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,شارع الشيخ زايد,Traffic,جانب الطريق,Shk. Zayed Road,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),52,,,,,,,,,,,,,,,,,
دبي,Dubai,2015,شارع الشيخ محمد بن زايد,Traffic,جانب الطريق,Sheikh Mohd. Bin Zayed Rd.,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),71,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2015,الحمرية,Industrial ,صناعية ,Al hummariah,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2015,كلباء,Residential, حضرية/ سكنية,Kalba,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
عجمان ,Ajman,2015,مشيرف,Residential,سكنية ,Musharif,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,الجير,Residential,سكنية ,Al Jeer,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,البريرات,Residential,سكنية ,Al Burairat,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,القاسمية,Residential,سكنية ,AL Qasmiah,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2015,غليلة,Residential,سكنية ,Ghalilah,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,شارع حمدان,Traffic,جانب الطريق,Hamdan Street,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),76.7,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة خديجة,Down Town,وسط المدينة ,Khadejah School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),67.7,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة خليفة,Urban/Residential,حضرية/ سكنية,Khalifa School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),73.1,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,المقطع,Urban/Residential,حضرية/ سكنية,Al Maqta,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),63.4,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدينة خليفة أ,Urban/Residential, حضرية/ سكنية,Khalifa City A,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),63.5,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة بني ياس,Urban/Residential,حضرية/ سكنية,Baniyas School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),82.8,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مصفح,Industrial,صناعية  ,Mussafah ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),121.2,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,المفرق,Industrial,صناعية,Al Mafraq,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),107.7,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014, شارع العين,Traffic,جانب الطريق,Al Ain Street,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),79.6,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة العين,Urban/Residential,حضرية/ سكنية,Al Ain Islamic Institute,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),55.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,الطوية,Urban/Residential,حضرية/ سكنية,Al Tawia,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),58.1,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,زاخر,Urban/Residential, حضرية/ سكنية,Zakher ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),45.9,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,سويحان,Urban/Residential,حضرية/ سكنية,Sweihan,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),72.3,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,القوع,Residential,ريفية/ سكنية,Al Qua'a,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),49.8,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,طريق أبوظبي - طريف السريع,Traffic,جانب الطريق,Abu Dhabi- Tarif Road,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),59.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014, بدع زايد,Urban/Residential,حضرية/ سكنية,Bida Zayed ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),61.2,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,حبشان,Residential,ريفية/ سكنية,Habshan South ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),53.5,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,الرويس,Industrial,صناعية  ,Ruwais ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),70.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,مدرسة غياثي,Down Town,وسط المدينة,Gayathi School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),55.3,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2014,واحة ليوا,Remote,نائية,Liwa Oasis,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),66.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,الكرامة,Urban/Residential, حضرية/ سكنية,Karama,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),109.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,تلال الامارات,Urban/Residential,حضرية/ سكنية,Emirates Hills,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),69.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,مطار دبي,Urban/Residential,حضرية/ سكنية,Dubai Airport,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),54.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,حتا,Down town,وسط المدينة ,Hatta,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),63.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,ميناء جبل علي,Industrial ,صناعية  ,Jebel Ali Port,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),31.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,شارع الشيخ زايد,Traffic,جانب الطريق,Shk. Zayed Road,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),63.0,,,,,,,,,,,,,,,,,
دبي,Dubai,2014,شارع الشيخ محمد بن زايد,Traffic,جانب الطريق,Sheikh Mohd. Bin Zayed Rd.,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),44.0,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2014,الجير,Residential,سكنية ,Al Jeer,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),72.7,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2014,البريرات,Residential,سكنية ,Al Burairat,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),95.2,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2014,القاسمية,Residential,سكنية ,AL Qasmiah,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),172.2,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,شارع حمدان,Traffic,جانب الطريق,Hamdan Street,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),62.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدرسة خديجة,Down Town,وسط المدينة ,Khadejah School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),120.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدرسة خليفة,Urban/Residential,حضرية/ سكنية,Khalifa School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),123.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,المقطع,Urban/Residential,حضرية/ سكنية,Al Maqta,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدينة خليفة أ,Urban/Residential, حضرية/ سكنية,Khalifa City A,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مدرسة بني ياس,Urban/Residential,حضرية/ سكنية,Baniyas School,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),115.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,مصفح,Industrial,صناعية  ,Mussafah ,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),157.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013,المفرق,Industrial,صناعية,Al Mafraq,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),202.0,,,,,,,,,,,,,,,,,
أبوظبي,Abu Dhabi  ,2013, شارع العين,Traffic,جانب الطريق,Al Ain Street,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),99.0,,,,,,,,,,,,,,,,,
